link,name_raw,slug
https://www.congress.gov/member/kelly-ayotte/A000368,"Senator Ayotte, Kelly",kelly-ayotte/A000368
https://www.congress.gov/member/brian-babin/B001291,"Representative Babin, Brian",brian-babin/B001291
https://www.congress.gov/member/joe-baca/B001234,"Representative Baca, Joe",joe-baca/B001234
https://www.congress.gov/member/jim-bacchus/B000008,"Representative Bacchus, Jim",jim-bacchus/B000008
https://www.congress.gov/member/michele-bachmann/B001256,"Representative Bachmann, Michele",michele-bachmann/B001256
https://www.congress.gov/member/spencer-bachus/B000013,"Representative Bachus, Spencer",spencer-bachus/B000013
https://www.congress.gov/member/don-bacon/B001298,"Representative Bacon, Don",don-bacon/B001298
https://www.congress.gov/member/robert-badham/B000024,"Representative Badham, Robert E.",robert-badham/B000024
https://www.congress.gov/member/herman-badillo/B000025,"Representative Badillo, Herman",herman-badillo/B000025
https://www.congress.gov/member/scotty-baesler/B000028,"Representative Baesler, Scotty",scotty-baesler/B000028
https://www.congress.gov/member/l-bafalis/B000029,"Representative Bafalis, L. A. (Skip)",l-bafalis/B000029
https://www.congress.gov/member/donald-bailey/B000037,"Representative Bailey, Donald A.",donald-bailey/B000037
https://www.congress.gov/member/wendell-bailey/B000047,"Representative Bailey, Wendell",wendell-bailey/B000047
https://www.congress.gov/member/brian-baird/B001229,"Representative Baird, Brian",brian-baird/B001229
https://www.congress.gov/member/james-baird/B001307,"Representative Baird, James R.",james-baird/B001307
https://www.congress.gov/member/bill-baker/B000078,"Representative Baker, Bill",bill-baker/B000078
https://www.congress.gov/member/howard-baker/B000063,"Senator Baker, Howard H., Jr.",howard-baker/B000063
https://www.congress.gov/member/lamar-baker/B000069,"Representative Baker, LaMar",lamar-baker/B000069
https://www.congress.gov/member/richard-baker/B000072,"Representative Baker, Richard H.",richard-baker/B000072
https://www.congress.gov/member/john-baldacci/B000081,"Representative Baldacci, John Elias",john-baldacci/B000081
https://www.congress.gov/member/troy-balderson/B001306,"Representative Balderson, Troy",troy-balderson/B001306
https://www.congress.gov/member/alvin-baldus/B000083,"Representative Baldus, Alvin J.",alvin-baldus/B000083
https://www.congress.gov/member/tammy-baldwin/B001230,"Senator Baldwin, Tammy",tammy-baldwin/B001230
https://www.congress.gov/member/frank-ballance/B001238,"Representative Ballance, Frank W.,  Jr.",frank-ballance/B001238
https://www.congress.gov/member/cass-ballenger/B000104,"Representative Ballenger, Cass",cass-ballenger/B000104
https://www.congress.gov/member/jim-banks/B001299,"Representative Banks, Jim",jim-banks/B001299
https://www.congress.gov/member/ron-barber/B001279,"Representative Barber, Ron",ron-barber/B001279
https://www.congress.gov/member/peter-barca/B001226,"Representative Barca, Peter",peter-barca/B001226
https://www.congress.gov/member/james-barcia/B000134,"Representative Barcia, James A.",james-barcia/B000134
https://www.congress.gov/member/dean-barkley/B001237,"Senator Barkley, Dean M.",dean-barkley/B001237
https://www.congress.gov/member/lou-barletta/B001269,"Representative Barletta, Lou",lou-barletta/B001269
https://www.congress.gov/member/tom-barlow/B000151,"Representative Barlow, Tom",tom-barlow/B000151
https://www.congress.gov/member/doug-barnard/B000153,"Representative Barnard, Doug, Jr.",doug-barnard/B000153
https://www.congress.gov/member/michael-barnes/B000160,"Representative Barnes, Michael D.",michael-barnes/B000160
https://www.congress.gov/member/andy-barr/B001282,"Representative Barr, Andy",andy-barr/B001282
https://www.congress.gov/member/bob-barr/B000169,"Representative Barr, Bob",bob-barr/B000169
https://www.congress.gov/member/nanette-barragan/B001300,"Representative Barragan, Nanette Diaz",nanette-barragan/B001300
https://www.congress.gov/member/john-barrasso/B001261,"Senator Barrasso, John",john-barrasso/B001261
https://www.congress.gov/member/bill-barrett/B000179,"Representative Barrett, Bill",bill-barrett/B000179
https://www.congress.gov/member/j-barrett/B001239,"Representative Barrett, J. Gresham",j-barrett/B001239
https://www.congress.gov/member/thomas-barrett/B000177,"Representative Barrett, Thomas M.",thomas-barrett/B000177
https://www.congress.gov/member/william-barrett/B000178,"Representative Barrett, William A.",william-barrett/B000178
https://www.congress.gov/member/john-barrow/B001252,"Representative Barrow, John",john-barrow/B001252
https://www.congress.gov/member/dewey-bartlett/B000200,"Senator Bartlett, Dewey F.",dewey-bartlett/B000200
https://www.congress.gov/member/roscoe-bartlett/B000208,"Representative Bartlett, Roscoe G.",roscoe-bartlett/B000208
https://www.congress.gov/member/steve-bartlett/B000204,"Representative Bartlett, Steve",steve-bartlett/B000204
https://www.congress.gov/member/joe-barton/B000213,"Representative Barton, Joe",joe-barton/B000213
https://www.congress.gov/member/charles-bass/B000220,"Representative Bass, Charles F.",charles-bass/B000220
https://www.congress.gov/member/karen-bass/B001270,"Representative Bass, Karen",karen-bass/B001270
https://www.congress.gov/member/herbert-bateman/B000229,"Representative Bateman, Herbert H.",herbert-bateman/B000229
https://www.congress.gov/member/jim-bates/B000236,"Representative Bates, Jim",jim-bates/B000236
https://www.congress.gov/member/max-baucus/B000243,"Senator Baucus, Max",max-baucus/B000243
https://www.congress.gov/member/robert-bauman/B000244,"Representative Bauman, Robert E.",robert-bauman/B000244
https://www.congress.gov/member/birch-bayh/B000254,"Senator Bayh, Birch",birch-bayh/B000254
https://www.congress.gov/member/evan-bayh/B001233,"Senator Bayh, Evan",evan-bayh/B001233
https://www.congress.gov/member/john-beall/B000272,"Senator Beall, J. Glenn, Jr.",john-beall/B000272
https://www.congress.gov/member/melissa-bean/B001253,"Representative Bean, Melissa L.",melissa-bean/B001253
https://www.congress.gov/member/edward-beard/B000279,"Representative Beard, Edward",edward-beard/B000279
https://www.congress.gov/member/robin-beard/B000280,"Representative Beard, Robin",robin-beard/B000280
https://www.congress.gov/member/joyce-beatty/B001281,"Representative Beatty, Joyce",joyce-beatty/B001281
https://www.congress.gov/member/bob-beauprez/B001240,"Representative Beauprez, Bob",bob-beauprez/B001240
https://www.congress.gov/member/xavier-becerra/B000287,"Representative Becerra, Xavier",xavier-becerra/B000287
https://www.congress.gov/member/berkley-bedell/B000298,"Representative Bedell, Berkley W.",berkley-bedell/B000298
https://www.congress.gov/member/mark-begich/B001265,"Senator Begich, Mark",mark-begich/B001265
https://www.congress.gov/member/anthony-beilenson/B000318,"Representative Beilenson, Anthony C.",anthony-beilenson/B000318
https://www.congress.gov/member/alphonzo-bell/B000330,"Representative Bell, Alphonzo",alphonzo-bell/B000330
https://www.congress.gov/member/chris-bell/B001241,"Representative Bell, Chris",chris-bell/B001241
https://www.congress.gov/member/henry-bellmon/B000351,"Senator Bellmon, Henry L.",henry-bellmon/B000351
https://www.congress.gov/member/cleve-benedict/B000358,"Representative Benedict, Cleve",cleve-benedict/B000358
https://www.congress.gov/member/dan-benishek/B001271,"Representative Benishek, Dan",dan-benishek/B001271
https://www.congress.gov/member/jamie-benitez/B000362,"Representative Benitez, Jamie",jamie-benitez/B000362
https://www.congress.gov/member/adam-benjamin/B000363,"Representative Benjamin, Adam, Jr.",adam-benjamin/B000363
https://www.congress.gov/member/michael-bennet/B001267,"Senator Bennet, Michael F.",michael-bennet/B001267
https://www.congress.gov/member/charles-bennett/B000371,"Representative Bennett, Charles E.",charles-bennett/B000371
https://www.congress.gov/member/robert-bennett/B000382,"Senator Bennett, Robert F.",robert-bennett/B000382
https://www.congress.gov/member/wallace-bennett/B000384,"Senator Bennett, Wallace F.",wallace-bennett/B000384
https://www.congress.gov/member/kerry-bentivolio/B001280,"Representative Bentivolio, Kerry L.",kerry-bentivolio/B001280
https://www.congress.gov/member/helen-bentley/B000392,"Representative Bentley, Helen Delich",helen-bentley/B000392
https://www.congress.gov/member/ken-bentsen/B000400,"Representative Bentsen, Ken",ken-bentsen/B000400
https://www.congress.gov/member/lloyd-bentsen/B000401,"Senator Bentsen, Lloyd M.",lloyd-bentsen/B000401
https://www.congress.gov/member/ami-bera/B001287,"Representative Bera, Ami",ami-bera/B001287
https://www.congress.gov/member/douglas-bereuter/B000403,"Representative Bereuter, Doug",douglas-bereuter/B000403
https://www.congress.gov/member/rick-berg/B001272,"Representative Berg, Rick",rick-berg/B001272
https://www.congress.gov/member/robert-bergland/B000408,"Representative Bergland, Bob",robert-bergland/B000408
https://www.congress.gov/member/jack-bergman/B001301,"Representative Bergman, Jack",jack-bergman/B001301
https://www.congress.gov/member/shelley-berkley/B001231,"Representative Berkley, Shelley",shelley-berkley/B001231
