Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Ending stocks,Shipments,Carcass Amount,Retail Amount,Boneless Amount,Pcc Carcass Amount,Pcc Retail Amount,Pcc Boneless Amount, 
1986,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,240.651,"1,214","1,546",280,"3,040",430,264,,"2,346",,,,,9.748557039,
1987,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,242.804,"1,425","1,740",264,"3,429",495,354,,"2,580",,,,,10.6258546,
1988,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,245.021,"1,537","1,559",354,"3,450",671,338,,"2,441",,,,,9.962411385,
1989,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,247.342,"1,799","1,566",338,"3,703",839,349,,"2,515",,,,,10.16810732,
1990,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,250.132,"1,763","1,575",349,"3,687","1,022",273,,"2,392",,,,,9.562950762,
1991,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,253.493,"2,164","1,619",273,"4,056","1,313",305,,"2,438",,,,,9.617622577,
1992,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,256.894,"2,355","1,564",305,"4,224","1,408",306,,"2,510",,,,,9.770566849,
1993,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,260.255,"2,403","1,649",306,"4,358","1,437",305,,"2,616",,,,,10.05168008,
1994,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,263.436,"2,388","1,691",305,"4,384","1,413",275,,"2,696",,,,,10.23398472,
1995,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,266.557,"2,358","1,724",275,"4,357","1,433",310,,"2,614",,,,,9.806532937,
1996,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,269.667,"2,251","1,864",310,"4,425","1,494",291,,"2,640",,,,,9.789851928,
1997,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,272.912,"2,194","1,960",291,"4,445","1,486",322,,"2,637",,,,,9.662455297,
1998,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,276.115,"2,142","2,097",322,"4,561","1,501",323,,"2,737",,,,,9.912536443,
1999,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,279.295,"1,974","2,211",323,"4,508","1,383",307,,"2,818",,,,,10.08969011,
2000,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,282.385,"2,100","2,350",307,"4,757","1,574",307,,"2,876",,,,,10.18467695,
2001,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,285.309019,"2,210","2,654",307,"5,171","1,943",307,,"2,921",,,,,10.23802195,
2002,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,288.104818,"2,071","2,842",307,"5,220","1,757",298,,"3,165",,,,,10.98558511,
2003,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,290.819634,"1,963","3,082",,"5,045","1,744",,,"3,301",,,,,11.35067793,
2004,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,293.463185,"2,304","3,276",,"5,580","2,130",,,"3,450",,,,,11.75615947,
2005,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,296.186216,"2,362","3,202",,"5,564","2,138",,,"3,426",,,,,11.5670474,
2006,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,298.995825,"2,432","3,435",,"5,867","2,189",,,"3,678",,,,,12.30117511,
2007,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,302.003917,"2,378","3,403",,"5,781","2,145",,,"3,636",,,,,12.03957894,
2008,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,304.797761,"2,207","3,333",,"5,540","1,964",,,"3,576",,,,,11.73236965,
2009,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,307.439406,"2,207","3,323",,"5,530","1,920",,,"3,610",,,,,11.74215123,
2010,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,309.76667,"2,230","3,434",,"5,664","2,100",,,"3,564",,,,,11.50543407,
2011,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,312.138672,"2,446","3,494",,"5,940","2,552",,,"3,388",,,,,10.85415011,
2012,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,314.334945,"2,302","3,526",,"5,828","2,539",,,"3,289",,,,,10.46336099,
2013,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,316.505959,"2,281","3,606",,"5,887","2,596",,,"3,291",,,,,10.3979085,
2014,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,318.839403,"2,449","3,661",,"6,110","2,650",,,"3,460",,,,,10.85185823,
2015,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,321.132158,"2,347","3,776",,"6,123","2,447",,,"3,676",,,,,11.44700058,
2016,Red Meat Poultry Fish ,Pounds,Fresh and frozen fish and shellfish,323.34877,"2,121","3,852",,"5,973","2,329",,,"3,644",,,,,11.26956506,
1970,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,205.052,745,238,161,"1,144",47,186,,911,,,,,4.442775491,
1971,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,207.661,757,192,186,"1,135",48,196,,891,,,,,4.290646775,
1972,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,209.896,866,247,196,"1,309",55,218,,"1,036",,,,,4.935777718,
1973,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,211.909,865,231,218,"1,314",58,205,,"1,051",,,,,4.959676087,
1974,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,213.854,892,267,205,"1,364",43,314,,"1,007",,,,,4.708820036,
1975,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,215.973,748,162,299,"1,209",51,246,,912,,,,,4.222750066,
1976,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,218.035,846,217,246,"1,309",55,329,,925,,,,,4.242438141,
1977,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,220.239,864,178,329,"1,371",55,320,,996,,,,,4.5223598,
1978,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,222.585,"1,018",191,320,"1,529",68,359,,"1,102",,,,,4.950917627,
1979,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,225.055,903,198,359,"1,460",81,300,,"1,079",,,,,4.794383595,
1980,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,227.726,891,212,300,"1,403",106,326,,971,,,,,4.263896086,
1981,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,229.966,921,204,326,"1,451",102,301,,"1,048",,,,,4.557195411,
1982,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,232.188,806,224,301,"1,331",71,270,,990,,,,,4.263786242,
1983,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,234.307,855,258,270,"1,383",74,216,,"1,093",,,,,4.664820086,
1984,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,236.348,"1,009",316,216,"1,541",64,326,,"1,151",,,,,4.86993755,
1985,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,238.466,812,414,326,"1,552",61,306,,"1,185",,,,,4.969261865,
1986,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,240.651,878,439,306,"1,623",81,249,,"1,293",,,,,5.372925938,
1987,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,242.804,891,429,249,"1,569",55,257,,"1,257",,,,,5.177015206,
1988,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,245.021,839,429,257,"1,525",63,266,,"1,196",,,,,4.881214263,
1989,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,247.342,969,533,266,"1,768",138,372,,"1,258",,,,,5.086075151,
1990,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,250.132,876,458,372,"1,706",100,335,,"1,271",,,,,5.081317065,
1991,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,253.493,897,513,335,"1,745",148,366,,"1,231",,,,,4.856149874,
1992,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,256.894,768,469,366,"1,603",178,259,,"1,166",,,,,4.53883703,
1993,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,260.255,925,382,259,"1,566",127,285,,"1,154",,,,,4.434112697,
1994,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,263.436,896,419,285,"1,600",138,295,,"1,167",,,,,4.429918462,
1995,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,266.557,"1,017",378,295,"1,690",140,321,,"1,229",,,,,4.610646128,
1996,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,269.667,972,354,321,"1,647",155,306,,"1,186",,,,,4.398016813,
1997,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,272.912,879,387,306,"1,572",129,271,,"1,172",,,,,4.294424576,
1998,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,276.115,925,428,271,"1,624",144,296,,"1,184",,,,,4.288068377,
1999,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,279.295,985,546,296,"1,827",167,412,,"1,248",,,,,4.468393634,
2000,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,282.385,991,512,,"1,503",170,,,"1,333",,,,,4.720505693,
2001,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,285.309019,835,539,,"1,374",183,,,"1,191",,,,,4.174421139,
2002,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,288.104818,875,575,,"1,450",200,,,"1,250",,,,,4.338698702,
2003,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,290.819634,796,748,,"1,544",183,,,"1,361",,,,,4.6798766,
2004,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,293.463185,787,745,,"1,532",216,,,"1,316",,,,,4.484378509,
2005,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,296.186216,736,748,,"1,484",214,,,"1,270",,,,,4.287843024,
2006,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,298.995825,634,724,,"1,358",195,,,"1,163",,,,,3.88968642,
2007,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,302.003917,661,702,,"1,363",177,,,"1,186",,,,,3.927101383,
2008,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,304.797761,672,707,,"1,379",187,,,"1,192",,,,,3.910789883,
2009,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,307.439406,582,716,,"1,298",167,,,"1,131",,,,,3.678773696,
2010,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,309.76667,620,770,,"1,390",167,,,"1,223",,,,,3.948132961,
2011,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,312.138672,567,752,,"1,319",158,,,"1,161",,,,,3.719500671,
2012,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,314.334945,531,685,,"1,216",134,,,"1,082",,,,,3.442188077,
2013,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,316.505959,617,682,,"1,299",144,,,"1,155",,,,,3.649220393,
2014,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,318.839403,508,688,,"1,196",132,,,"1,064",,,,,3.337103225,
2015,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,321.132158,625,698,,"1,323",139,,,"1,184",,,,,3.686955574,
2016,Red Meat Poultry Fish ,Pounds,Canned fish and shelffish,323.34877,494,689,,"1,183",109,,,"1,074",,,,,3.321490909,
1970,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,205.052,52,54,4,110,10,9,,91,,,,,0.443789868,
1971,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,207.661,55,49,9,113,9,10,,94,,,,,0.452660827,
1972,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,209.896,53,43,10,106,8,6,,92,,,,,0.438312307,
1973,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,211.909,50,48,6,104,10,8,,86,,,,,0.40583458,
1974,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,213.854,55,50,8,113,9,7,,97,,,,,0.45358048,
1975,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,215.973,51,50,7,108,10,7,,91,,,,,0.421348965,
1976,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,218.035,48,70,7,125,14,7,,104,,,,,0.47698764,
1977,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,220.239,54,58,7,119,24,7,,88,,,,,0.399565926,
1978,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,222.585,48,68,7,123,36,6,,81,,,,,0.363905924,
1979,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,225.055,51,63,6,120,32,5,,83,,,,,0.368798738,
1980,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,227.726,57,56,5,118,41,4,,73,,,,,0.320560674,
1981,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,229.966,43,73,4,120,49,4,,67,,,,,0.291347417,
1982,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,232.188,46,69,4,119,49,1,,69,,,,,0.297172981,
1983,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,234.307,55,65,1,121,45,6,,70,,,,,0.298753345,
1984,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,236.348,60,68,6,134,39,25,,70,,,,,0.296173439,
1985,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,238.466,59,54,25,138,45,22,,71,,,,,0.297736365,
1986,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,240.651,55,59,22,136,39,25,,72,,,,,0.299188451,
1987,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,242.804,41,64,25,130,35,23,,72,,,,,0.296535477,
1988,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,245.021,41,63,23,127,52,2,,73,,,,,0.297933647,
1989,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,247.342,50,66,2,118,28,16,,74,,,,,0.299180891,
1990,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,250.132,33,71,16,120,20,25,,75,,,,,0.299841684,
1991,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,253.493,29,68,25,122,23,24,,75,,,,,0.295866158,
1992,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,256.894,34,67,24,125,16,33,,76,,,,,0.295841865,
1993,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,260.255,21,69,33,123,16,30,,77,,,,,0.295863672,
1994,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,263.436,21,70,30,121,11,32,,78,,,,,0.296087095,
1995,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,266.557,22,71,32,125,13,23,,89,,,,,0.333887311,
1996,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,269.667,28,67,23,118,23,16,,79,,,,,0.292953902,
1997,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,272.912,26,69,16,111,11,20,,80,,,,,0.293134783,
1998,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,276.115,21,72,20,113,15,17,,81,,,,,0.293356029,
1999,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,279.295,32,69,17,118,22,15,,81,,,,,0.290015933,
2000,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,282.385,31,69,15,115,14,19,,82,,,,,0.290383696,
2001,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,285.309019,32,72,19,123,23,15,,85,,,,,0.297922583,
2002,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,288.104818,33,70,15,118,19,14,,85,,,,,0.295031512,
2003,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,290.819634,27,71,,98,11,,,87,,,,,0.299154492,
2004,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,293.463185,28,70,,98,10,,,88,,,,,0.299867256,
2005,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,296.186216,16,83,,99,11,,,88,,,,,0.297110383,
2006,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,298.995825,22,87,,109,12,,,97,,,,,0.324419246,
2007,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,302.003917,10,89,,99,9,,,90,,,,,0.29800938,
2008,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,304.797761,10,93,,103,10,,,93,,,,,0.305120352,
2009,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,307.439406,21,91,,112,5,,,107,,,,,0.348036061,
2010,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,309.76667,18,92,,110,4,,,106,,,,,0.342193045,
2011,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,312.138672,25,90,,115,7,,,108,,,,,0.346000062,
2012,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,314.334945,22,94,,116,11,,,105,,,,,0.334038584,
2013,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,316.505959,10,94,,104,15,,,89,,,,,0.281195338,
2014,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,318.839403,25,91,,116,12,,,104,,,,,0.326183022,
2015,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,321.132158,23,100,,123,12,,,111,,,,,0.345652085,
2016,Red Meat Poultry Fish ,Pounds,Cured fish and shelffish,323.34877,12,101,,113,8,,,105,,,,,0.324726765,
